,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
29,2,137,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,0,1,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,0,1,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,0,1,1,0
34,0,110,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,0,1,1,0
35,0,78,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,0,1,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095,0,1,1,0
38,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945,0,1,1,0
41,1,107,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,0,1,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,0,1,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,0,1,1,0
44,0,145,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,0,1,1,0
45,0,122,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,0,1,1,0
46,0,122,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,0,1,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795,0,1,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395,0,1,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,10945,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,11845,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,13645,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000,16,23,15645,0,1,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,0,1,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,0,1,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,0,1,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,0,1,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,1,0,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,0,1,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280,0,1,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,39,18344,1,0,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,1,0,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,1,0,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,1,0,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,1,0,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,0,1,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,0,1,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960,0,1,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400,0,1,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503,0,1,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,0,1,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,0,1,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,0,1,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,0,1,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629,0,1,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489,0,1,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,0,1,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0,1,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0,1,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,1,0,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,0,1,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,0,1,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,0,1,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,0,1,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,0,1,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,0,1,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,0,1,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,0,1,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,0,1,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,0,1,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499,0,1,1,0
99,0,108,nissan,four,wagon,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,0,1,1,0
100,0,108,nissan,four,sedan,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,0,1,1,0
101,3,194,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.9430555555555556,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199,0,1,1,0
102,3,194,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.9430555555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,0,1,0,1
103,1,231,nissan,two,hatchback,rwd,front,99.2,0.857760691975012,0.9430555555555556,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399,0,1,1,0
104,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,0,1,1,0
105,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,13200,1,0,0,1
106,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.9500000000000001,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,0,1,1,0
107,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.9500000000000001,0.9816053511705687,3430,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,13860,1,0,0,1
108,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,0,1,1,0
109,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,16900,1,0,0,1
110,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.9500000000000001,0.948160535117057,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,0,1,1,0
111,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435849,0.9500000000000001,0.9816053511705687,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,17075,1,0,0,1
112,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,0,1,1,0
113,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.9500000000000001,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,17950,1,0,0,1
114,0,161,peugot,four,sedan,rwd,front,108.0,0.897164824603556,0.9486111111111111,0.9364548494983278,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150,0,1,0,1
115,1,119,plymouth,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,0,1,1,0
116,1,119,plymouth,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,0,1,0,1
117,1,154,plymouth,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,0,1,1,0
118,1,154,plymouth,four,sedan,fwd,front,93.7,0.8039404132628545,0.8861111111111111,0.8494983277591973,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,0,1,1,0
119,1,154,plymouth,four,sedan,fwd,front,93.7,0.8039404132628545,0.8861111111111111,0.8494983277591973,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,0,1,1,0
120,-1,74,plymouth,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,0,1,1,0
121,3,122,plymouth,two,hatchback,rwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764,0,1,0,1
122,3,186,porsche,two,hatchback,rwd,front,94.5,0.8116290245074483,0.9486111111111111,0.8394648829431439,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,0,1,1,0
123,3,122,porsche,two,hardtop,rwd,rear,89.5,0.8116290245074483,0.9027777777777778,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528,0,1,1,0
124,3,122,porsche,two,hardtop,rwd,rear,89.5,0.8116290245074483,0.9027777777777778,0.8628762541806021,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028,0,1,1,0
125,3,122,porsche,two,convertible,rwd,rear,89.5,0.8116290245074483,0.9027777777777778,0.8628762541806021,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028,0,1,1,0
126,0,122,renault,four,wagon,fwd,front,96.1,0.8721768380586257,0.9236111111111112,0.9230769230769231,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125,23,31,9295,0,1,1,0
127,2,122,renault,two,hatchback,fwd,front,96.1,0.849591542527631,0.9249999999999999,0.8444816053511706,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125,23,31,9895,0,1,1,0
128,3,150,saab,two,hatchback,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,0,1,1,0
129,2,104,saab,four,sedan,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,0,1,1,0
130,3,150,saab,two,hatchback,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,0,1,1,0
131,2,104,saab,four,sedan,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,0,1,1,0
132,3,150,saab,two,hatchback,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150,0,1,0,1
133,2,104,saab,four,sedan,fwd,front,99.1,0.8966842864007688,0.9236111111111112,0.9381270903010034,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620,0,1,0,1
